Steps	Avg_Last_100_Episodes	Std_Last_100_Episodes	Best_Avg_100_Episodes	Num_Episodes	Exploration_Epsilon	Adam_Learning_Rate	Elapsed_Time_Hours
10000	-20.1	0.5385164807134504	-inf	10	0.991	0.0001	0.009205939438607957
20000	-20.3	0.6403124237432849	-inf	20	0.982	0.0001	0.014099773632155524
30000	-20.29032258064516	0.6321263852343685	-inf	31	0.973	0.0001	0.01962090830008189
40000	-20.146341463414632	0.7827710505307909	-inf	41	0.964	0.0001	0.02533317744731903
50000	-20.134615384615383	0.7851713716382155	-inf	52	0.955	0.0001	0.030547124147415162
60000	-20.158730158730158	0.7602495247509871	-inf	63	0.946	0.0001	0.18262060582637787
70000	-20.136986301369863	0.8161900882063688	-inf	73	0.9369999999999999	0.0001	0.33226675503783754
80000	-20.202380952380953	0.7985069684635239	-inf	84	0.9279999999999999	0.0001	0.47265140493710833
90000	-20.189473684210526	0.7986137574059224	-inf	95	0.919	0.0001	0.6237254294421938
100000	-20.23	0.7981854421122951	-20.2	106	0.91	0.0001	0.769603815012508
110000	-20.23	0.7981854421122951	-20.2	117	0.901	0.0001	0.9247769735919105
120000	-20.24	0.8138795979750322	-20.2	128	0.892	0.0001	1.0901101258065966
130000	-20.29	0.7911384202527393	-20.2	139	0.883	0.0001	1.231529687775506
140000	-20.3	0.806225774829855	-20.2	150	0.874	0.0001	1.3627706880039638
150000	-20.27	0.8228608630868285	-20.2	160	0.865	0.0001	2.0257173491186564
160000	-20.29	0.8281907992727281	-20.2	171	0.856	0.0001	2.2435820288790596
170000	-20.24	0.8845337754998391	-20.2	182	0.847	0.0001	2.403021535542276
180000	-20.26	0.8674099376880576	-20.2	193	0.838	0.0001	2.5596506883038415
190000	-20.26	0.8674099376880576	-20.2	204	0.829	0.0001	2.726113442513678
200000	-20.21	0.9087904048789247	-20.2	214	0.82	0.0001	2.8767832475238375
210000	-20.17	0.9061456836513653	-20.15	225	0.8109999999999999	0.0001	3.0404687444369
220000	-20.14	0.883402513014311	-20.14	235	0.802	0.0001	3.2041746658086776
230000	-20.08	0.9019977827023744	-20.04	246	0.7929999999999999	0.0001	3.3995037366284264
240000	-20.08	0.9453041838477177	-20.04	256	0.784	0.0001	3.5793124328056973
250000	-20.12	0.9303762679690406	-20.04	267	0.775	0.0001	3.7541122683551578
